"","x"
"179","RPL_10k_cell311312_4"
"180","RPL_10k_cell331691_4"
"181","RPL_10k_cell347273_4"
"182","RPL_10k_cell427917_4"
"183","RPL_10k_cell447984_4"
"184","RPL_10k_cell525684_4"
"185","RPL_10k_cell525717_4"
"186","RPL_10k_cell529783_4"
"187","RPL_10k_cell534551_4"
"188","RPL_10k_cell596951_4"
"189","RPL_10k_cell613271_4"
"190","RPL_10k_cell657771_4"
"191","RPL_10k_cell673738_4"
"192","RPL_10k_cell686613_4"
"193","RPL_10k_cell711098_4"
"194","RPL_10k_cell728618_4"
"195","RPL_20k_cell4334_4"
"196","RPL_20k_cell28967_4"
"197","RPL_20k_cell40054_4"
"198","RPL_20k_cell48657_4"
"199","RPL_20k_cell65519_4"
"200","RPL_20k_cell85031_4"
"201","RPL_20k_cell114212_4"
"202","RPL_20k_cell115871_4"
"203","RPL_20k_cell134785_4"
"204","RPL_20k_cell154557_4"
"205","RPL_20k_cell159410_4"
"206","RPL_20k_cell159595_4"
"207","RPL_20k_cell165270_4"
"208","RPL_20k_cell182376_4"
"209","RPL_20k_cell183816_4"
"210","RPL_20k_cell199721_4"
"211","RPL_20k_cell205878_4"
"212","RPL_20k_cell207376_4"
"213","RPL_20k_cell222453_4"
"214","RPL_20k_cell267047_4"
"215","RPL_20k_cell286160_4"
"216","RPL_20k_cell295141_4"
"217","RPL_20k_cell303752_4"
"218","RPL_20k_cell305709_4"
"219","RPL_20k_cell318852_4"
"220","RPL_20k_cell328935_4"
"221","RPL_20k_cell331524_4"
"222","RPL_20k_cell334270_4"
"223","RPL_20k_cell340423_4"
"224","RPL_20k_cell354744_4"
"225","RPL_20k_cell358904_4"
"226","RPL_20k_cell361708_4"
"227","RPL_20k_cell368019_4"
"228","RPL_20k_cell373711_4"
"229","RPL_20k_cell377516_4"
"230","RPL_20k_cell396043_4"
"231","RPL_20k_cell416956_4"
"232","RPL_20k_cell426177_4"
"233","RPL_20k_cell426446_4"
"234","RPL_20k_cell444105_4"
"235","RPL_20k_cell444630_4"
"236","RPL_20k_cell450896_4"
"237","RPL_20k_cell462519_4"
"238","RPL_20k_cell468842_4"
"239","RPL_20k_cell499880_4"
"240","RPL_20k_cell558950_4"
"241","RPL_20k_cell569538_4"
"242","RPL_20k_cell605623_4"
"243","RPL_20k_cell627266_4"
"244","RPL_20k_cell654813_4"
"245","RPL_20k_cell658581_4"
"246","RPL_20k_cell678480_4"
"247","RPL_20k_cell681071_4"
"248","RPL_20k_cell689173_4"
"249","RPL_20k_cell729191_4"
"250","RPL_30k_cell6908_4"
"251","RPL_30k_cell6945_4"
"252","RPL_30k_cell13292_4"
"253","RPL_30k_cell16860_4"
